line_code,site_code,product_code,assignment_role,data_class,notes
SITE-CZ-01-L03,SITE-CZ-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L03,SITE-CZ-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L03,SITE-CZ-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L04,SITE-CZ-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L04,SITE-CZ-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-CZ-01-L05,SITE-CZ-01,BEV-JUI-ORANGE,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L01,SITE-FR-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L02,SITE-FR-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L02,SITE-FR-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L02,SITE-FR-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L03,SITE-FR-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L03,SITE-FR-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L03,SITE-FR-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L04,SITE-FR-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L04,SITE-FR-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-FR-01-L05,SITE-FR-01,BEV-JUI-ORANGE,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L01,SITE-ES-01,BEV-WAT-STILL,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L02,SITE-ES-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L02,SITE-ES-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L02,SITE-ES-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L03,SITE-ES-01,BEV-WAT-SPARK,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L03,SITE-ES-01,BEV-CSD-COLA,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L03,SITE-ES-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L04,SITE-ES-01,BEV-CSD-COLA,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L04,SITE-ES-01,BEV-CSD-CITRUS,ALTERNATE,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
SITE-ES-01-L05,SITE-ES-01,BEV-ENE-CLASSIC,PRIMARY,SYNTHETIC_MAPPING,Compatible product assignment for enterprise demonstration.
